K_STR,K_EQ,REL_P_EQ,L_S,L_U,W_S,W_U,L_SHARE,OUTPUT
363.204,265.000, 0.965403, 4.45582, 17.9903, 1.77840, 1.90757, 0.697777, 285.080 
375.402,271.314, 0.909211, 4.72027, 17.9213, 1.90553, 1.96401, 0.696692, 298.820 
390.830,285.951, 0.857765, 4.59164, 17.7662, 2.05537, 2.06659, 0.690335, 318.040 
409.146,307.918, 0.831097, 4.53781, 17.6234, 2.18539, 2.19923, 0.695937, 337.960 
426.132,328.065, 0.793810, 4.68912, 17.1625, 2.34626, 2.31048, 0.702990, 356.240 
442.738,351.307, 0.773196, 4.63418, 16.9619, 2.50609, 2.50578, 0.709140, 362.860 
460.066,377.723, 0.764198, 4.63195, 16.5062, 2.73882, 2.73371, 0.721824, 379.640 
477.470,399.396, 0.747605, 4.76501, 16.0382, 2.94115, 2.92202, 0.733976, 389.840 
492.746,419.274, 0.727240, 4.97705, 15.9928, 3.06093, 3.04005, 0.723848, 385.320 
506.844,445.654, 0.690666, 5.19156, 16.0382, 3.24520, 3.24634, 0.722384, 395.860 
522.728,484.114, 0.638881, 5.47316, 15.5967, 3.38211, 3.50827, 0.723524, 422.140 
539.676,524.278, 0.682945, 5.62815, 15.0990, 3.57868, 3.80439, 0.728312, 450.300 
551.760,548.549, 0.659114, 5.68093, 14.7472, 3.89981, 4.04230, 0.713905, 438.340 
561.108,579.103, 0.625484, 5.94652, 14.7379, 4.14583, 4.33954, 0.712424, 426.440 
570.418,626.111, 0.603665, 6.07251, 14.8317, 4.35226, 4.64221, 0.705972, 453.080 
581.970,687.442, 0.556566, 6.38945, 14.8999, 4.63011, 5.00514, 0.702915, 478.840 
596.410,761.178, 0.516155, 6.49958, 14.6390, 5.02611, 5.49277, 0.702694, 507.640 
613.928,827.313, 0.496395, 6.64489, 14.4221, 5.39877, 5.98965, 0.703285, 516.120 
632.814,894.867, 0.484536, 6.93216, 14.3023, 6.05088, 6.50504, 0.694586, 503.200 
651.814,943.961, 0.446988, 6.68419, 13.8964, 6.49153, 6.81861, 0.696508, 509.040 
663.100,1000.52, 0.418964, 6.96910, 14.2816, 6.81168, 6.98687, 0.687436, 493.160 
675.678,1087.27, 0.377068, 7.13271, 14.6009, 7.35118, 7.29147, 0.684021, 515.100 
692.550,1189.99, 0.359927, 7.22430, 14.7311, 7.70076, 7.56011, 0.688051, 562.300 
705.166,1288.28, 0.344643, 7.51238, 14.7317, 8.01983, 7.82148, 0.694682, 580.560 
709.992,1380.50, 0.325427, 7.62605, 14.8708, 8.24203, 8.05848, 0.694814, 595.900 
714.932,1492.96, 0.302859, 7.87894, 14.9973, 8.93722, 8.44991, 0.693537, 620.820 
718.352,1606.29, 0.280312, 7.97257, 15.2121, 9.45704, 8.68379, 0.691612, 649.120 
720.632,1720.60, 0.267862, 7.99566, 15.1039, 9.73473, 8.88084, 0.697089, 657.980 
725.040,1811.34, 0.252224, 8.10613, 15.2837, 10.0473, 9.08829, 0.700788, 660.460 
728.444,1911.58, 0.232526, 8.40395, 15.2883, 10.3477, 9.30921, 0.708405, 650.260 
