YEAR,L_S,L_U,W_S,W_U,SKILL_PREMIUM,LABOR_INPUT_RATIO
1976,4056.453572860005,11183.259719209307,7.590602628919081,5.212479165706761,1.456236540734426,0.362725508904376
1977,4089.8639875926665,11113.54306757914,8.062356456799483,5.563399284487907,1.4491781093762708,0.36800721090682387
1978,4103.2512137180265,11130.908084474266,8.60573119696232,5.947686616558909,1.4469039395927772,0.368635800653261
1979,4184.476322722771,11023.536982104459,9.074995384722293,6.369110967811738,1.4248449164389776,0.3795947098935509
1980,4251.898501526376,10870.166213750816,9.819459615321405,6.980280797167064,1.4067427802197607,0.39115303463784235
1981,4392.507948938087,10681.9636677176,10.621468267484078,7.570735890286284,1.4029637833637902,0.41120790947949626
1982,4601.385927180402,10534.36924019792,11.807972480647118,8.233534574864535,1.4341316445909735,0.43679747901963145
1983,4937.885840359911,10222.899571241049,12.583783734295034,8.637294694778593,1.4569126305140623,0.4830220433986379
1984,4964.36240165963,10286.000676791522,13.097824759324885,8.892746802266394,1.4728660390945563,0.4826329063793283
1985,5020.184872216766,10395.136161627537,13.95080587077415,9.268730044711036,1.5051475017049203,0.4829359417867182
1986,5090.328204650459,10383.51165948573,14.579420694536942,9.686261856458485,1.5051648314479398,0.49023185715790596
1987,5204.6218407424285,10354.398885203345,15.30809210268242,9.981384975660076,1.5336641297787519,0.5026483814700188
1988,5214.750809984179,10346.630123276846,15.556149939922928,10.272750900192317,1.5143119979315083,0.5040047578633876
1989,5331.73546343215,10335.470305971461,16.246490089216074,10.588496304697902,1.534352907315823,0.5158677162810545
1990,5376.742806680321,10381.422508552623,17.13383162690086,11.071432226292712,1.5475713780021172,0.5179196591074826
1991,5402.091635838867,10341.97347768046,17.616572944981513,11.333976808412258,1.5543152454579061,0.5223463053253227
1992,5498.849678392343,10361.798460168746,18.252147465455547,11.706013157142008,1.5592112549710955,0.530684870925659
1993,5696.600046635275,10297.23324015126,18.66163847391436,12.015634189859203,1.5531130674454257,0.5532165693230036
1994,5820.049571245932,10370.202153360526,19.291750284440703,12.133682156681127,1.589933709761645,0.5612281694392921
1995,5987.963922418795,10341.690919287505,19.950084970285552,12.446256022860565,1.6028984888019648,0.5790120754093605
1996,5979.8222223275825,10378.208258099778,21.889265214135552,13.056205607517258,1.6765410925768938,0.5761902318408931
1997,5954.094121450678,10368.859817167846,22.858307666959593,13.557370123147972,1.6860429020766439,0.5742284326761187
1998,6082.551879404371,10297.880785499243,23.82797694091132,14.005550199069468,1.7013238753372542,0.5906605452229935
1999,6248.425894989155,10251.335840407783,25.303922036169038,14.375874117082333,1.7601658048814786,0.6095230896991666
2000,6308.571744390334,10207.449805139846,25.48759405959839,14.850931550812447,1.7162286400952433,0.6180360290592587
2001,6368.238891770413,10146.38431164036,28.268390929087282,15.667052234161487,1.8043209728661653,0.6276362787150197
2002,6537.110601616829,9949.20041062926,29.453858932020466,16.18359375634873,1.819982593202816,0.6570488412951141
2003,6661.032514968373,9808.458023196363,29.636269630082218,16.5083991642915,1.7952237121929402,0.6791110793577815
2004,6662.668362406608,9855.743900761341,30.075978854463727,16.863342236767448,1.7835123329756382,0.6760188200397463
2005,6654.0064304133575,9907.956145255057,31.054816061715407,17.138661439079627,1.811974416561151,0.6715821439722436
2006,6656.570000094891,9943.866944929354,32.22387477869938,17.32335796720716,1.8601402129828792,0.6694146288320215
2007,6907.21165947081,9720.243416133464,33.62827516257271,17.954617369967462,1.8729597222618872,0.7106006880451533
2008,7091.39631446994,9591.2629989993,33.38581503925409,18.437237422830588,1.810781858127665,0.7393600107941798
2009,7257.703158035859,9401.38540989895,34.9755032085116,18.90794026839998,1.8497785962950517,0.7719823027778485
2010,7455.156320735811,9178.549662269239,35.21744190549603,19.358195735526504,1.8192522891409946,0.8122368560451468
2011,7556.437624651076,9156.026569617936,34.72869169250641,19.519813945037416,1.7791507537056004,0.8252966029746233
2012,7645.651753586208,9157.116837592122,36.51331007506839,20.12842158675318,1.8140175531248983,0.834940941476143
2013,7820.146611068586,9053.879170921735,36.77042372080246,20.119314708285334,1.8276181000170963,0.8637343688199952
2014,7766.880469686812,9043.582766125994,37.21275301735967,20.224406357989,1.839992351748805,0.8588278197418341
2015,7829.545035675548,8984.264416222006,37.485661480782944,20.81738011407427,1.8006906380807997,0.8714731304589062
2016,7962.014289542231,8883.527100293993,38.84278404660078,21.26844481324147,1.8263104983782237,0.8962672370615873
2017,8022.570475953871,8827.847007335939,40.16955890902409,22.026568634490275,1.8236866384228652,0.9087799629158863
2018,8172.9661674048975,8669.046325539317,41.2666347411433,22.564724608400383,1.8288118050322042,0.9427756941760768
2019,8215.375712857378,8593.820526011392,42.50527548766191,22.996254955665943,1.8483564201913334,0.9559631467740624
2020,8535.559070498024,8314.023977946626,45.79201286979442,23.98607116486669,1.9091085219853645,1.0266459530474088
2021,8998.361056397345,7915.117844645682,45.82014045284452,24.823728093085418,1.84582026845547,1.1368574963775733
